video_id	duration_s	classification	n_strategies	title
svSqEpgFAsM	914	STRATEGY	1	The ‘Volume Delta’ Scalping Strategy That Quietly Prints (Orderflow Trading)
_H8jRCM1bGU	1484	MULTI-STRATEGY	3	How I Trade Order Flow With $0 (Full Price Action Strategy)
OM042f4rWoc	828	STRATEGY	1	5‑Min Scalping ONLY Works If You See This Hidden Fibonacci Line (Full Strategy)
crjn6IanPcc	1470	MULTI-STRATEGY	10	I Decoded Volume Price Analysis In Trading (Then Built THIS Strategy)
_BFelENGDv0	889	MULTI-STRATEGY	1	10,000 Hours of ICT & SMC Strategies Into 15 Minutes
Qh6EjfNQ3hw	773	STRATEGY	1	Candle Range Theory, Done Right (The Real CRT Strategy)
H1x_XUEL2aY	755	STRATEGY	1	This AI-Built RSI+VWAP Indicator Quietly Prints Profits (Claude Strategy)
s4DSY3Y_N4Y	772	STRATEGY	1	If I Had $100 & Only 30 Mins to Trade, I'd Do THIS
7Zvt6efiHME	649	STRATEGY	1	The 200 EMA Order Block Strategy That Quietly Prints Profits
viqq4tjl4u0	755	STRATEGY	1	The Box Strategy Hiding on Every Chart (Wyckoff Method)
3T0IUQRdNdo	10809	MULTI-STRATEGY	10	17 Years Into ONE Smart Money Concepts Trading Course (Full SMC)
owz1w37cVHs	790	TOOLING	0	This Price Action Strategy Beats 10,000 Hours of Day Trading
fmHNF1mrSh4	792	STRATEGY	1	The ONLY Pivot Points Trading Strategy That Hasn't Let Me Down (CPR Exposed)
28H31JdMXaQ	651	STRATEGY	1	The ONLY Moving Average Strategy That Hasn’t Let Me Down
182KujUBFIM	759	TOOLING	0	STOP Manually Analyzing Charts: Let TradingView AI Do It in Minutes
jP89VQvMgKE	833	CONCEPT	0	The Only Day Trading Strategies I'd Give My Younger Self
N4ZS-NNURPM	838	STRATEGY	1	The ONLY Support and Resistance Trading Strategy I Trust Blindly
k6pB2HdV6Ow	785	PSYCHOLOGY	0	Small Account? This is How I’d Grow $100 Day Trading
GkNhn-k05MY	755	CONCEPT	0	I Learned How Smart Money Triggers Stop Hunts — The Exit Liquidity Traps
WEm7vrIt7rA	897	CONCEPT	0	The Only Price Action Strategy You Need (Read Any Chart In 30 Seconds)
MTKAd1y1W30	826	STRATEGY	1	I Get Perfect Breakout Entries With THIS Trading Strategy
PmQTvswoZvw	787	TOOLING	5	The Best Way To Combine Tradingview Indicators For Day Trading
dOZ6g_B59zU	773	PSYCHOLOGY	0	If I Started Trading Again, I'd Fix This One Mistake (Hint: Math Beats Psychology)
kcglxDJ_ZF0	961	STRATEGY	1	I Studied Order Flow Trading for 5 Years — Footprint Charts Beat Everything
M3tFmFeMwak	822	STRATEGY	1	This Price Action Strategy Wins BIG (No Indicators, Just Candle Analysis)
TztlrOfhJvY	883	CONCEPT	0	Technical Analysis Was Hard, Until I Found This Chart Analysis Strategy
V9nnt0wQ7SY	838	STRATEGY	3	RSI Has a Hidden Feature Everyone Misses (Copy This Exact Trading Strategy)
bO_qQi-NJEo	782	STRATEGY	1	Copy This EMA Strategy, It'll Fix Your 1-Minute Scalping Forever
cfIStrdzdS8	802	STRATEGY	1	The Hidden "One Candle" Pattern AI Finds on Every Chart | EASY Trading Strategy
G0YaMmqFKUM	1031	CONCEPT	0	Every Trading Strategy in Technical Analysis RANKED
DR_CiMf_q1Y	571	STRATEGY	3	The Most Overlooked Bollinger Bands Trading Strategy (Cleanest Win Rate)
YkFhXz5b0ms	826	STRATEGY	0	How I Use Top-Down Analysis To Find Sniper Entries (Multi Timeframe Strategy)
r3DtpFCQGgY	888	STRATEGY	1	If You Learn One Price Action Strategy, Make It This
5MWSMLSuLlA	828	CONCEPT	1	Master Key Level Trading In 13 Min (Price Magnets Unlocked)
jMw-QlSW5iE	669	STRATEGY	2	STOP Trading Gold With Broken Setups! Use This Simple XAUUSD Strategy Instead
UbmSxPOQRb4	8642	MULTI-STRATEGY	23	17 Years In ONE Technical Analysis Course (Learn Trading From Zero To Advanced)
4pYxq6gt3oQ	964	STRATEGY	1	The 2 Lines That Predict Tomorrow's Trades (Previous Day High and Low Trading Strategy)
PLiqG5BSDwY	919	STRATEGY	1	My "1-Touch" Pin Bar Strategy (The 'One Candle' That Starts Every Big Move)
7OafSZ3HqXI	925	STRATEGY	1	The "2-Level" Signal Hiding on Every Chart | Simple 50 EMA Trading Strategy
X6LggdZ8aNI	905	STRATEGY	1	The Invisible Line Hiding on Every Chart (25/50/75 Trading Strategy)
1HFoStW_wsc	1233	STRATEGY	1	Ultimate VWAP Strategy for Day Trading (Institutional Grade)
z07oz6Jl7P4	1023	STRATEGY	1	My Scalping Strategy Just Hit Its Cleanest Win Rate Yet (Best on 5 Minute)
ZfkqKkI0YKI	1352	STRATEGY	1	I Built The BEST Chart Analysis System For Day Trading (Complete Strategy)
S2HaCa0b-bY	920	MULTI-STRATEGY	3	My Boring MACD Trading Strategy Just Hit 71% Win Rate This Month
h3noCNdvK6Q	1695	CONCEPT	0	My Liquidity Strategy Shows Every Trap Before It Happens (SMC Trading)
BNd4VQssn4Q	747	STRATEGY	1	My 3-Candle Strategy Is Lazy, But It Beats 99% of Setups | Candlestick Analysis 101
lRnR3UbNRww	1691	MULTI-STRATEGY	5	ULTIMATE Moving Average Trading Guide (Only A+ Strategies)
IZLMN_L3b0s	1622	MULTI-STRATEGY	9	I Found The BEST Chart Patterns For Day Trading (That Beat The Market)
UQR4rM9L6Fg	1555	MULTI-STRATEGY	8	Ultimate Entry Strategy For Day Trading (Found 7 Sniper Entry Models That Print Every Day)
vvuWY3cFzpY	1183	MULTI-STRATEGY	6	The Only Scalping Course You Need (My 1-Hour-A-Day Strategy)
dYb7o9YFHss	1505	TOOLING	0	How I Use AI For Trading To Build Tradingview Indicators (Zero Money Spent)
luEbG761C50	1322	MULTI-STRATEGY	8	The Scalping Strategies I Trade Every Single Morning
bkkfjpdZV5g	1520	CONCEPT	0	The BEST Market Structure Strategy I Trade Every Single Morning
mqWxkkiVk-Q	951	STRATEGY	1	I Studied 1,000 Failed Retests (Found The One Strategy Everyone Misses)
_8q3ZJ5afFA	1512	MULTI-STRATEGY	4	My Swing Trading System Is Lazy, But It Beats 95% of Day Traders
Hq30qxOrScw	1849	CONCEPT	0	How SMC/ICT Secretly Copied Price Action | Smart Money Concepts Full Course
hRPBYPO8AhA	1571	TOOLING	0	How to Use AI In Trading - Copy This (Free & Easy)
Dpsn7A9WZ1Q	1597	MULTI-STRATEGY	12	The Complete RENKO Trading Strategy For Scalping & Day Trading
LpWOuHCFN6Y	1786	CONCEPT	0	Volume Candle Analysis In Trading: The Missing Piece In Your Strategy
ll-gpQpPWtg	1735	CONCEPT	2	Technical Analysis is Hard Until You Learn These BANK Strategies (High Win Rate)
RfiTfYDkQjY	1779	MULTI-STRATEGY	3	Actually Profitable AVWAP - CPR - VSA Strategy (3 Rules Only)
4jlAz--4YFU	1546	TOOLING	1	I Made My Own AI Trading Bots & Indicators - Copy This (Free & Easy)
R2vFfU8GKAE	1756	MULTI-STRATEGY	3	I Unlocked The Most Accurate Price Action Course For Heikin Ashi Traders (Best Strategy)
2GGGIhmc0xQ	1749	STRATEGY	2	The Only BOS CHOCH Trading Strategy You'll Ever Need (Simple SMC Model)
gOTFa4aNF04	1734	MULTI-STRATEGY	5	I Simplified Fair Value Gaps to One Profitable Strategy (FVG Trading Strategy)
rkYVWZ-8XYI	1414	PSYCHOLOGY	0	This Trading Psychology Trick Beats Every Mental System
VMn5MYeVRjo	1742	MULTI-STRATEGY	6	Manipulation Candlestick Patterns Banks Use Against You (Price Action Strategy)
NnUnk7HffHo	1808	MULTI-STRATEGY	7	I Simplified Fibonacci Trading to One Profitable Strategy
XimXVSFrX1c	1807	MULTI-STRATEGY	5	Price Action Trading Plus Volume | Strategies No One Shows You
R7_ujGtaKdw	1666	MULTI-STRATEGY	3	Only 1 In 100 Traders Knows This 1 Minute Forex Scalping Strategy | Scalping Trading Course
EjL5g-KHqXU	1611	MULTI-STRATEGY	0	I Tested All Small Account Growth Methods (Only This One Works Fast & Safe)
iB3dt0Kk8j0	1804	MULTI-STRATEGY	7	Smart Money Concepts Without The Confusion (My Clean SMC Strategy)
dQn1QsHqZgE	1752	MULTI-STRATEGY	5	I Found The Most Accurate Gold Trading Strategy | XAUUSD Trading Course
b7wRM4u84BY	1819	MULTI-STRATEGY	5	I Never Shared This Scalping Trading Strategy Course, Time to Reveal All!
9P7uB4nBfyA	1794	CONCEPT	2	ULTIMATE Liquidity Trading Strategy (Smart Money Concepts)
5x26pDiv2BU	1706	STRATEGY	3	The Last Order Block Strategy You'll Ever Need For SMC Trading
ergVw_5MkmM	1821	CONCEPT	2	How SMC/ICT Secretly Copied the Wyckoff Trading Method | Smart Money Course
1BA9pq7v0SI	1759	MULTI-STRATEGY	10	My Complete Price Action System (I Only Use These Strategies Now)
WXqqgvdzsg8	1771	MULTI-STRATEGY	4	Support & Resistance: The Part Everyone Gets Wrong (Complete SR Strategy)
QYV_-pY6xmM	1809	MULTI-STRATEGY	5	I Wasted $5,000 on Trading Education, Only This Price Action Trading Course Delivered
iWeSYAqaboI	1232	STRATEGY	0	Supply And Demand Trading: The Part Everyone Gets Wrong (Complete Strategy)
GeFlS3ZklCI	1180	CONCEPT	0	Smart Money Concepts: The Part Everyone Gets Wrong (Complete SMC Strategy)
oF_NsJLMXEs	1235	STRATEGY	6	The BEST Day Trading System I Trade Every Single Morning (Full Strategy Course)
OpTLs-86qwQ	1072	CONCEPT	0	The BEST Technical Analysis Blueprint I Trade Every Single Morning (Full Course)
dU-I67JaJrc	771	CONCEPT	0	How To Read Price Action Using Candlestick Psychology (Trading Strategy)
ve4ZBUsid-s	735	STRATEGY	1	IDIOT-PROOF 1 Minute Scalping Trading Strategy (Liquidity News Trading)
VxQqfNkLiuc	735	PSYCHOLOGY	0	I Decoded Smart Money & Market Makers Liquidity Traps For You | SMC Trading Strategy
N-KcJPMtdR8	742	TOOLING	0	I Found The BEST TradingView Indicators for Scalping & Day Trading
NwJ5n-XW3sI	622	MULTI-STRATEGY	3	Forex Swing Trading Strategies That Work (1 Hour & 4 Hour Strategy)
W6ResUGbdDA	1027	TOOLING	0	BEST Forex Trading Course For Beginners (Expert in 17 Minutes)
fB-OstKXTRI	679	CONCEPT	0	Liquidity Trading Strategy Exposed (Smart Money Concept Manipulation)
HzkU6cbcI1o	667	TOOLING	1	Ultimate ATR Indicator Strategy For Day Trading & Scalping
UI2vRZN78F8	723	STRATEGY	1	A Scalping Price Action Trading Strategy I Never Shared Before
XD_AbeQl4_E	716	STRATEGY	1	My Complete SMC Price Action Trading Strategy (3 Rules Only)
ZND-3-GQng0	706	TOOLING	0	How To Find Stocks To Day Trade (Finviz & Tradingview Stock Screener Strategy)
qJ5bt_pgmCY	862	CONCEPT	0	The Anchored VWAP Indicator Trading Strategy I'll Trade Forever (High Win Rate)
5VlLNXAftdk	818	STRATEGY	1	BEST Day Trading Strategy UNLOCKED (Daily High And Low Forex Strategy)
n1V9Z8p68FQ	832	STRATEGY	1	A Moving Average Trading Strategy That REALLY Works (Step-By Step)
j2Nhj0QIHHE	958	STRATEGY	1	The 3-Step Breakout Trading Strategy That Avoids 90% of Fakeouts
